dataset,classifier,method,p_value_raw,effect_size_cohens_d,effect_size_glass_delta,test_statistic,test_type,mean_baseline,mean_method,practical_significance,baseline_std,method_std,p_value_corrected,significant
WineQuality,RandomForest,RandomOver,0.183521476412627,0.6305469659394833,0.5397111648958729,-1.606120096233064,paired_t_test,0.6039512208076602,0.6326259106746912,False,0.04752064433484623,0.03241419632320304,0.917607382063135,False
WineQuality,RandomForest,SMOTE,0.8882627697446691,0.07908473744870617,0.08792913357647118,-0.14967748923844076,paired_t_test,0.6039512208076602,0.608622868903116,False,0.04752064433484623,0.05766178513989414,1.0,False
WineQuality,RandomForest,BorderlineSMOTE,0.8546883944686385,0.12481428097102137,0.09907387209383979,-0.19528498052856572,paired_t_test,0.6039512208076602,0.609214985467346,False,0.04752064433484623,0.02423751557480182,1.0,False
WineQuality,RandomForest,ADASYN,0.45663866630126687,0.4986154128933739,0.5015674051345483,-0.8232047178067563,paired_t_test,0.6039512208076602,0.6305993443320632,False,0.04752064433484623,0.048081678611228536,1.0,False
WineQuality,RandomForest,SMOTETomek,0.6034826603762316,0.293811813127352,0.3461183702923825,-0.5630197948217638,paired_t_test,0.6039512208076602,0.6223403844398987,False,0.04752064433484623,0.06332020516414229,1.0,False
WineQuality,RandomForest,SMOTEENN,0.02908551130637004,-1.3823762954450487,-1.2268744250906947,3.330742598587189,paired_t_test,0.6039512208076602,0.5387677561445657,True,0.04752064433484623,0.03604534721182099,0.17451306783822024,False
WineQuality,LogisticRegression,RandomOver,0.1272783838869806,1.1170051741552678,0.8038036563934006,-1.9199530566802117,paired_t_test,0.4284131960539658,0.5135437653250003,True,0.09472847670656648,0.01788981089588996,0.6159177215036318,False
WineQuality,LogisticRegression,SMOTE,0.10265295358393862,1.1508209301445047,0.8245575826553978,-2.1085951056021246,paired_t_test,0.4284131960539658,0.5157418065297646,True,0.09472847670656648,0.01548760461954542,0.6159177215036318,False
WineQuality,LogisticRegression,BorderlineSMOTE,0.14535119164876523,0.9838293973762907,0.7251765133744043,-1.80523073742874,paired_t_test,0.4284131960539658,0.5052163916036668,True,0.09472847670656648,0.027879867990518448,0.6159177215036318,False
WineQuality,LogisticRegression,ADASYN,0.18325129156446573,0.8996309209968599,0.6417245994578477,-1.6073711720335186,paired_t_test,0.4284131960539658,0.4963780280531074,True,0.09472847670656648,0.01258514617411785,0.6159177215036318,False
WineQuality,LogisticRegression,SMOTETomek,0.10265295358393862,1.1508209301445047,0.8245575826553978,-2.1085951056021246,paired_t_test,0.4284131960539658,0.5157418065297646,True,0.09472847670656648,0.01548760461954542,0.6159177215036318,False
WineQuality,LogisticRegression,SMOTEENN,0.24523589462331358,0.6548215810568115,0.47767936194715804,-1.360683709239165,paired_t_test,0.4284131960539658,0.47900405327156925,True,0.09472847670656648,0.024017480707306176,0.6159177215036318,False
WineQuality,SVM,RandomOver,0.000770930163145837,2.706046478023645,2.73155856247813,-9.213928667733667,paired_t_test,0.4167268746579092,0.5473827794830731,True,0.04278223998035164,0.04358519297714273,0.003083720652583348,True
WineQuality,SVM,SMOTE,0.0012188202873377007,2.3305164640970593,2.3154158039146218,-8.175659499066017,paired_t_test,0.4167268746579092,0.5274778397159287,True,0.04278223998035164,0.042226002234445635,0.0036564608620131022,True
WineQuality,SVM,BorderlineSMOTE,0.00047425324375510426,2.9721826105563016,2.422243305821294,-10.447627364374767,paired_t_test,0.4167268746579092,0.5325876126175814,True,0.04278223998035164,0.024515238845295016,0.0023712662187755215,True
WineQuality,SVM,ADASYN,0.0003166150321601158,2.726313974672354,2.349143529059573,-11.590230689391568,paired_t_test,0.4167268746579092,0.5290911042115323,True,0.04278223998035164,0.02979132688396248,0.0018996901929606946,True
WineQuality,SVM,SMOTETomek,0.0016205640325727157,2.308872965062295,2.365800083828849,-7.5847320738869755,paired_t_test,0.4167268746579092,0.5298878205128205,True,0.04278223998035164,0.044867108680127,0.0036564608620131022,True
WineQuality,SVM,SMOTEENN,0.002662376275978284,2.0332864227820946,1.795571127093495,-6.645083385685085,paired_t_test,0.4167268746579092,0.5026126299592724,True,0.04278223998035164,0.03200641506930876,0.0036564608620131022,True
WineQuality,BalancedRF,RandomOver,0.5164595730941274,0.3385155202172518,0.27473786612227646,-0.7107973662169395,paired_t_test,0.6149524541853308,0.6326259106746912,False,0.05753709987687823,0.03241419632320304,1.0,False
WineQuality,BalancedRF,SMOTE,0.8367862196860243,-0.09828827539906236,-0.09839483040126056,0.21980305531136826,paired_t_test,0.6149524541853308,0.608622868903116,False,0.05753709987687823,0.05766178513989414,1.0,False
WineQuality,BalancedRF,BorderlineSMOTE,0.856515030919992,-0.11624139038390348,-0.08919024490039207,0.19279174721339448,paired_t_test,0.6149524541853308,0.609214985467346,False,0.05753709987687823,0.02423751557480182,1.0,False
WineQuality,BalancedRF,ADASYN,0.7983267886875357,0.16200936796357013,0.15922362128397993,-0.27305775244493735,paired_t_test,0.6149524541853308,0.6251950602831317,False,0.05753709987687823,0.0555407816464054,1.0,False
WineQuality,BalancedRF,SMOTETomek,0.804650163162338,0.1092265556961646,0.11484704163116649,-0.26424108231400706,paired_t_test,0.6149524541853308,0.6223403844398987,False,0.05753709987687823,0.06332020516414229,1.0,False
WineQuality,BalancedRF,SMOTEENN,0.005834951412562825,-1.3393464086673115,-1.147767466849059,5.362906421912567,paired_t_test,0.6149524541853308,0.5411183712772543,True,0.05753709987687823,0.03939354232812599,0.03500970847537695,True
WineQuality,MLP,RandomOver,0.6678138373005083,-0.255720840597198,-0.274250728956538,0.46242147320410437,paired_t_test,0.6014572185508911,0.5932014285662852,False,0.026925007906128368,0.030703327805538708,1.0,False
WineQuality,MLP,SMOTE,0.9340168504247084,-0.03811519215220091,-0.050985575616333406,0.08811979673622632,paired_t_test,0.6014572185508911,0.5999223959958728,False,0.026925007906128368,0.04323728551814947,1.0,False
WineQuality,MLP,BorderlineSMOTE,0.383289963836885,-0.6741194901166716,-0.9737639772994917,0.97836548080499,paired_t_test,0.6014572185508911,0.5721439294969425,False,0.026925007906128368,0.04796239985512966,1.0,False
WineQuality,MLP,ADASYN,0.5850411316686053,-0.416804043845887,-0.7923309259772118,0.5930702255376649,paired_t_test,0.6014572185508911,0.5776056220644774,False,0.026925007906128368,0.06719046355760175,1.0,False
WineQuality,MLP,SMOTETomek,0.6414010221972131,0.23528487330236952,0.2321279120121634,-0.5029954581913305,paired_t_test,0.6014572185508911,0.6084449822605044,False,0.026925007906128368,0.026197487740536735,1.0,False
WineQuality,MLP,SMOTEENN,0.01810325258690314,-1.4125359754613926,-1.640972080457856,3.8628510272925958,paired_t_test,0.6014572185508911,0.5520589146032332,False,0.026925007906128368,0.03509754362812895,0.10861951552141885,False
BreastCancer,RandomForest,RandomOver,0.373900966300059,0.2619056534096473,0.2334779852665669,-1.0,paired_t_test,0.9650677273037521,0.9675985298345546,False,0.009695212146090544,0.007443221089869619,1.0,False
BreastCancer,RandomForest,SMOTE,0.8165692195381322,0.0933184591253653,0.08828453011147362,-0.2476900205786661,paired_t_test,0.9650677273037521,0.9660246942399784,False,0.009695212146090544,0.008617541806388303,1.0,False
BreastCancer,RandomForest,BorderlineSMOTE,0.6693467889183904,-0.189830037419753,-0.19431594583395212,0.4600948083051697,paired_t_test,0.9650677273037521,0.9629614247034004,False,0.009695212146090544,0.010148259712128642,1.0,False
BreastCancer,RandomForest,ADASYN,0.22075071798878707,0.4981645016982929,0.5911495620336384,-1.4496633862400068,paired_t_test,0.9650677273037521,0.9714755383270031,False,0.009695212146090544,0.013066260655570466,1.0,False
BreastCancer,RandomForest,SMOTETomek,0.8008216168430058,0.10113791214273966,0.09592465640280952,-0.269576151270538,paired_t_test,0.9650677273037521,0.9661075099749681,False,0.009695212146090544,0.008666944572997635,1.0,False
BreastCancer,RandomForest,SMOTEENN,0.49074253951241203,-0.29331229158072814,-0.43262215124664954,0.7578377314793164,paired_t_test,0.9650677273037521,0.9603782863099634,False,0.009695212146090544,0.01774774424393128,1.0,False
BreastCancer,LogisticRegression,RandomOver,0.7453553849828114,-0.15261117301175894,-0.13490220023776017,0.3480386232962907,paired_t_test,0.9794339645403476,0.977514646639529,False,0.012725441954537425,0.009546381999103706,1.0,False
BreastCancer,LogisticRegression,SMOTE,0.680151762183541,-0.14321224240297778,-0.12513499238415815,0.44377794551683797,paired_t_test,0.9794339645403476,0.9776536093609776,False,0.012725441954537425,0.009237641483584962,1.0,False
BreastCancer,LogisticRegression,BorderlineSMOTE,0.15412038622175422,-0.5388663399350614,-0.5347729761216848,1.754962982377798,paired_t_test,0.9794339645403476,0.9718254945218054,False,0.012725441954537425,0.012531365013185476,0.9247223173305253,False
BreastCancer,LogisticRegression,ADASYN,0.19324321598842348,-0.575757183592969,-0.5363322797660055,1.5623274944328287,paired_t_test,0.9794339645403476,0.9718033095656514,False,0.012725441954537425,0.010913341541721982,0.9662160799421173,False
BreastCancer,LogisticRegression,SMOTETomek,0.4502883203427133,-0.22514430564252108,-0.21029108968309587,0.8357960442571287,paired_t_test,0.9794339645403476,0.9764420529770073,False,0.012725441954537425,0.010982407927144488,1.0,False
BreastCancer,LogisticRegression,SMOTEENN,0.4021645363893716,-0.333963541165355,-0.31300075783167336,0.9362176217395257,paired_t_test,0.9794339645403476,0.9749807535740527,False,0.012725441954537425,0.011070413074482196,1.0,False
BreastCancer,SVM,RandomOver,0.7104003698584096,-0.13056704380221382,-0.11379477726737078,0.39881920881356325,paired_t_test,0.9819902151209142,0.9803579985678297,False,0.012829225573760842,0.009243935372908114,1.0,False
BreastCancer,SVM,SMOTE,0.7257581099304807,-0.11068284777719867,-0.10695404485220596,0.37636467510189564,paired_t_test,0.9819902151209142,0.9804561186832812,False,0.012829225573760842,0.011949193328766592,1.0,False
BreastCancer,SVM,BorderlineSMOTE,0.21193575268955023,-0.9375597081319469,-0.8226824321323989,1.484137168736996,paired_t_test,0.9819902151209142,0.9701900612306936,False,0.012829225573760842,0.00942676943451708,1.0,False
BreastCancer,SVM,ADASYN,0.5193814994920407,-0.38258614211017056,-0.3213305035845754,0.7055630985365567,paired_t_test,0.9819902151209142,0.9773812077520662,False,0.012829225573760842,0.008223047552408944,1.0,False
BreastCancer,SVM,SMOTETomek,0.7257581099304807,-0.11068284777719867,-0.10695404485220596,0.37636467510189564,paired_t_test,0.9819902151209142,0.9804561186832812,False,0.012829225573760842,0.011949193328766592,1.0,False
BreastCancer,SVM,SMOTEENN,0.10454645073616547,-0.6223210361690261,-0.6041574510787839,2.092402884132186,paired_t_test,0.9819902151209142,0.9733244765343076,False,0.012829225573760842,0.01206872450079642,0.6272787044169928,False
BreastCancer,BalancedRF,RandomOver,0.180567878695008,-0.5040872321332821,-0.4703461803775169,1.6199014554012658,paired_t_test,0.9721448472226253,0.9675985298345546,False,0.008645440444615302,0.007443221089869619,0.90283939347504,False
BreastCancer,BalancedRF,SMOTE,0.20396455735641678,-0.6341921705918947,-0.6331697356342383,1.5165843593484278,paired_t_test,0.9721448472226253,0.9660246942399784,False,0.008645440444615302,0.008617541806388303,0.90283939347504,False
BreastCancer,BalancedRF,BorderlineSMOTE,0.18555786586287357,-0.8713310501174218,-0.9500849448048194,1.5967516482695334,paired_t_test,0.9721448472226253,0.9629614247034004,False,0.008645440444615302,0.010148259712128642,0.90283939347504,False
BreastCancer,BalancedRF,ADASYN,0.9185176358514178,-0.05128969882932968,-0.07143323094585713,0.10891145758885597,paired_t_test,0.9721448472226253,0.9714543810224436,False,0.008645440444615302,0.014670400817021074,0.9185176358514178,False
BreastCancer,BalancedRF,SMOTETomek,0.20499273343632995,-0.6238255935655295,-0.6246019078073101,1.51232739848169,paired_t_test,0.9721448472226253,0.9661075099749681,False,0.008645440444615302,0.008666944572997635,0.90283939347504,False
BreastCancer,BalancedRF,SMOTEENN,0.12884889504016653,-0.7492510072934858,-1.0576823190707392,1.9093062028670775,paired_t_test,0.9721448472226253,0.9619213996453819,False,0.008645440444615302,0.014938179156693304,0.7730933702409992,False
BreastCancer,MLP,RandomOver,0.46002140988242307,-0.24662115618470648,-0.24614458140922307,0.8165541011534913,paired_t_test,0.9834050309380284,0.9806036540283115,False,0.010179495587288426,0.010140115377972873,1.0,False
BreastCancer,MLP,SMOTE,0.6275608524065966,0.13362260042419064,0.11980310383912426,-0.5246466534894623,paired_t_test,0.9834050309380284,0.9847685127050692,False,0.010179495587288426,0.007935468578814695,1.0,False
BreastCancer,MLP,BorderlineSMOTE,0.2897050267279416,-0.6131657366742268,-0.61098725374797,1.2193197137606764,paired_t_test,0.9834050309380284,0.976451371527849,False,0.010179495587288426,0.010107033830616311,1.0,False
BreastCancer,MLP,ADASYN,0.06779667828489784,-0.774242572552051,-0.7392366529577475,2.485688180333405,paired_t_test,0.9834050309380284,0.9749917622869125,False,0.010179495587288426,0.009236095858108095,0.40678006970938707,False
BreastCancer,MLP,SMOTETomek,0.6178621527118497,-0.13140135611910875,-0.12462226312342262,0.5399916685161162,paired_t_test,0.9834050309380284,0.981986702212887,False,0.010179495587288426,0.009098899038609044,1.0,False
BreastCancer,MLP,SMOTEENN,0.4068206174403083,-0.4352212710892834,-0.38409248170374083,0.9260791961556344,paired_t_test,0.9834050309380284,0.97903366593263,False,0.010179495587288426,0.007601917924950575,1.0,False
WineSklearn,RandomForest,RandomOver,0.17780892434298487,0.6067017254421323,0.5010622294652489,-1.6329878258257888,paired_t_test,0.9642943722943723,0.9833043478260869,False,0.03393398667058747,0.02047747621500525,0.8890446217149244,False
WineSklearn,RandomForest,SMOTE,0.17780892434298487,0.6067017254421323,0.5010622294652489,-1.6329878258257888,paired_t_test,0.9642943722943723,0.9833043478260869,False,0.03393398667058747,0.02047747621500525,0.8890446217149244,False
WineSklearn,RandomForest,BorderlineSMOTE,0.373900966300059,0.24393374211139773,0.25102721594991706,-1.0,paired_t_test,0.9642943722943723,0.9738181818181818,False,0.03393398667058747,0.035880425843037134,0.8890446217149244,False
WineSklearn,RandomForest,SMOTETomek,0.17780892434298487,0.6067017254421323,0.5010622294652489,-1.6329878258257888,paired_t_test,0.9642943722943723,0.9833043478260869,False,0.03393398667058747,0.02047747621500525,0.8890446217149244,False
WineSklearn,RandomForest,SMOTEENN,0.5797751462760032,0.32792037337247076,0.2718634670761918,-0.6017641302001379,paired_t_test,0.9642943722943723,0.9746086956521738,False,0.03393398667058747,0.020770780698203286,0.8890446217149244,False
WineSklearn,LogisticRegression,RandomOver,1.0,-0.26934008354593797,-0.41281254969226505,5.0,wilcoxon,0.992,0.9846153846153847,False,0.016000000000000014,0.03076923076923075,1.0,False
WineSklearn,LogisticRegression,SMOTE,1.0,-0.26934008354593797,-0.41281254969226505,5.0,wilcoxon,0.992,0.9846153846153847,False,0.016000000000000014,0.03076923076923075,1.0,False
